Country,Year,GDP per capita USD,CO2 Use
United States,2004.0,41724.6411982614,6106620735.0
United States,2005.0,44123.3996470026,6132005704.0
United States,2006.0,46301.9876485519,6052236286.0
United States,2007.0,48050.227412195,6130983563.0
United States,2008.0,48570.0594269601,5932775281.0
United States,2009.0,47194.9500893872,5495394958.0
United States,2010.0,48642.6312088213,5701075808.0
United States,2011.0,50024.8812320773,5570706560.0
United States,2012.0,51708.3940614082,5366730281.0
United States,2013.0,53297.3862901595,5519612557.0
United States,2014.0,55153.3940182967,5568759258.0
United States,2015.0,56849.4697923159,5420804127.0
Canada,2000.0,24271.0020563821,572530740.0
Canada,2001.0,23822.096210932,564635320.1
Canada,2002.0,24256.0192337185,570885097.8
Canada,2003.0,28301.8645937428,587596290.5
Canada,2004.0,32145.5412620217,585832799.3
Canada,2005.0,36383.6600068095,576801628.7
Canada,2006.0,40504.0370977806,570487642.1
Canada,2007.0,44660.0838892281,594140241.8
Canada,2008.0,46710.2526864484,574805870.6
Canada,2009.0,40874.8831932903,540518686.7
Canada,2010.0,47560.6666009406,555459693.7
Canada,2011.0,52223.8588398531,560775900.5
Canada,2012.0,52670.3447335415,563675200.3
Canada,2013.0,52638.1187235237,568892395.7
Canada,2014.0,50960.8431174661,568008388.0
Canada,2015.0,43594.1941045394,565576677.0
France,2000.0,22340.5939516217,420652709.4
France,2001.0,22331.7948343036,425882460.6
France,2002.0,24144.5727019529,420919498.2
France,2003.0,29479.5222101175,428002759.9
France,2004.0,33644.9282220364,428927747.1
France,2005.0,34696.3718316971,432639271.3
France,2006.0,36431.5658906555,422101255.2
France,2007.0,41486.1907828787,412898356.6
France,2008.0,45464.8181385158,406790823.0
France,2009.0,41728.0884164132,386942089.4
France,2010.0,40694.8211697025,397900468.6
France,2011.0,43929.7840873812,372792615.7
France,2012.0,40863.5814412333,374112621.7
France,2013.0,42669.1795111893,374258601.9
France,2014.0,43148.0459288416,343572632.5
France,2015.0,36702.4323733379,348163670.7
